"Δx [m]","Δy [m]","φ []","R [m]","Δz [V]"
"-4.61201e-07","6.29575e-07","-2.20304","7.8043e-07","0.0138855"
"-3.14788e-07","6.36896e-07","-2.02984","7.10442e-07","-0.0112915"
"-3.58712e-07","6.44217e-07","-2.07886","7.37353e-07","0.0892639"
"-4.09956e-07","6.22255e-07","-2.15335","7.45161e-07","0.0164795"
"-4.83163e-07","6.14934e-07","-2.23677","7.82042e-07","0.0337219"
"-3.29429e-07","6.22255e-07","-2.0577","7.04077e-07","0.00930786"
"-3.3675e-07","6.44217e-07","-2.05246","7.26922e-07","0.0305176"
"-3.4407e-07","6.36896e-07","-2.06611","7.23893e-07","-0.0186157"
"-3.87994e-07","6.22255e-07","-2.12834","7.33308e-07","0.0190735"
"-3.00146e-07","6.29575e-07","-2.01567","6.97462e-07","-0.0396729"
