"Δx [m]","Δy [m]","φ []","R [m]","Δz [V]"
"3.22108e-07","2.34261e-07","-0.628796","3.98286e-07","-0.025177"
"2.85505e-07","2.19619e-07","-0.655696","3.60202e-07","-0.0198364"
"3.29429e-07","2.19619e-07","-0.588003","3.95924e-07","-0.0177002"
"2.85505e-07","2.34261e-07","-0.687124","3.69312e-07","-0.0247192"
"3.29429e-07","2.48902e-07","-0.647047","4.12887e-07","-0.0386047"
"3.66032e-07","2.19619e-07","-0.54042","4.26863e-07","-0.0239563"
"2.78184e-07","1.97657e-07","-0.617756","3.41255e-07","-0.0247192"
"2.70864e-07","2.04978e-07","-0.647811","3.39681e-07","-0.0402832"
"3.51391e-07","2.12299e-07","-0.543478","4.10544e-07","-0.0233459"
"2.92826e-07","2.19619e-07","-0.643501","3.66032e-07","0.000610352"
