"Δx [m]","Δy [m]","φ []","R [m]","Δz [V]"
"3.29429e-07","1.1713e-07","-0.341615","3.49633e-07","-0.00854492"
"3.73353e-07","1.02489e-07","-0.26791","3.87165e-07","-0.0352478"
"2.92826e-07","6.58858e-08","-0.221314","3.00146e-07","-0.00717163"
"3.22108e-07","1.31772e-07","-0.388319","3.48019e-07","0.00274658"
"3.58712e-07","1.46413e-07","-0.387524","3.87441e-07","-0.0180054"
"2.85505e-07","7.32064e-08","-0.251003","2.94741e-07","-0.0088501"
"3.4407e-07","1.1713e-07","-0.32812","3.63461e-07","-0.0205994"
"3.00146e-07","1.0981e-07","-0.350728","3.19603e-07","-0.0100708"
"3.29429e-07","1.61054e-07","-0.454719","3.6669e-07","-0.0146484"
"3.29429e-07","1.90337e-07","-0.523919","3.80462e-07","0.00793457"
