"Δx [m]","Δy [m]","φ []","R [m]","Δz [V]"
"-1.90337e-07","6.29575e-07","-1.86439","6.57718e-07","-0.0291443"
"-1.90337e-07","7.02782e-07","-1.83528","7.28101e-07","-0.0338745"
"-1.75695e-07","6.95461e-07","-1.81825","7.17311e-07","0.0462341"
"-1.75695e-07","6.8082e-07","-1.82335","7.03125e-07","-0.015564"
"-1.83016e-07","6.95461e-07","-1.82812","7.19139e-07","-0.018158"
"-2.2694e-07","6.73499e-07","-1.8958","7.10706e-07","0.0434875"
"-2.63543e-07","6.51537e-07","-1.95517","7.0282e-07","0.0372314"
"-2.2694e-07","6.44217e-07","-1.90949","6.8302e-07","0.0398254"
"-1.83016e-07","6.22255e-07","-1.85685","6.48611e-07","-0.0480652"
"-2.19619e-07","6.14934e-07","-1.91382","6.52975e-07","0.0169373"
