"Δx [m]","Δy [m]","φ []","R [m]","Δz [m]"
"-6.64062e-07","8.20313e-07","-2.25132","1.05541e-06","-5.81055e-08"
"-6.64063e-07","8.20313e-07","-2.25132","1.05541e-06","2.34985e-09"
"-5.46875e-07","8.39844e-07","-2.14799","1.0022e-06","-3.50342e-08"
"-6.44531e-07","7.8125e-07","-2.2606","1.0128e-06","-6.28052e-08"
"-6.36896e-07","7.24744e-07","-2.29177","9.64826e-07","-1.474e-08"
"-6.88141e-07","8.34553e-07","-2.26034","1.08167e-06","-7.13501e-08"
"-6.14934e-07","7.54026e-07","-2.25494","9.72985e-07","-5.81055e-08"
"-6.44217e-07","8.12592e-07","-2.24113","1.03698e-06","-9.18579e-08"
"-6.8082e-07","8.56515e-07","-2.2424","1.09414e-06","-1.33942e-07"
"-7.02782e-07","9.00439e-07","-2.23353","1.14223e-06","-1.07025e-07"
