"Δx [m]","Δy [m]","φ []","R [m]","Δz [V]"
"-3.51391e-07","6.51537e-07","-2.06541","7.40254e-07","-0.0561523"
"-3.73353e-07","6.58858e-07","-2.08635","7.57289e-07","0.0111389"
"-3.3675e-07","6.88141e-07","-2.0259","7.66119e-07","-0.0541687"
"-3.66032e-07","6.95461e-07","-2.05527","7.85904e-07","0.0512695"
"-3.29429e-07","7.17423e-07","-2.00126","7.89442e-07","-0.0418091"
"-3.73353e-07","6.88141e-07","-2.0679","7.82898e-07","-0.0257874"
"-4.5388e-07","6.88141e-07","-2.15387","8.24345e-07","0.0289917"
"-4.39239e-07","7.02782e-07","-2.1294","8.28754e-07","0.0221252"
"-4.68521e-07","6.36896e-07","-2.20504","7.90663e-07","0.0254822"
"-4.31918e-07","6.66179e-07","-2.14601","7.93944e-07","0.0611877"
